ID,Согласие,Приоритет,Балл_Физика/ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
2,1,3,67,91,71,2,231
9,0,3,58,72,48,5,183
10,1,2,63,95,72,0,230
11,1,1,96,100,86,5,287
12,1,1,90,82,100,6,278
13,1,1,57,58,64,6,185
14,1,1,67,96,67,1,231
15,1,2,67,90,67,1,225
16,1,2,67,75,90,2,234
17,0,2,67,98,76,0,241
18,0,1,51,78,69,0,198
19,1,3,86,98,89,10,283
20,1,3,57,95,51,1,204
21,1,2,51,68,56,5,180
22,1,3,68,91,88,1,248
23,1,3,98,75,88,3,264
64,1,2,55,91,79,9,234
66,1,2,51,88,75,0,214
68,1,1,80,77,100,1,258
70,1,1,79,90,100,1,270
71,1,2,100,92,100,2,294
73,0,2,93,62,67,0,222
74,1,2,49,62,76,2,189
75,1,2,84,79,89,10,262
77,1,1,52,100,98,0,250
79,1,2,54,85,85,5,229
80,1,1,100,100,100,7,307
81,1,2,81,91,92,2,266
82,0,1,98,63,50,10,221
102,1,1,64,67,83,7,221
103,1,2,52,85,93,10,240
105,1,1,81,77,57,2,217
106,0,1,75,92,72,2,241
107,1,2,86,53,78,0,217
108,1,1,67,63,86,0,216
109,1,1,62,69,80,8,219
110,1,1,61,40,74,0,175
111,1,1,100,98,71,3,272
112,0,2,52,69,68,3,192
113,1,2,89,84,91,0,264
114,1,2,51,92,100,5,248
115,1,1,66,63,80,6,215
116,1,2,51,55,52,0,158
117,1,2,83,74,100,4,261
118,1,1,56,71,62,2,191
120,1,2,79,77,82,2,240
121,0,2,56,87,62,3,208
122,1,1,39,89,82,0,210
123,1,2,95,92,82,10,279
124,1,2,67,99,98,8,272
125,1,2,63,81,79,1,224
126,1,2,90,71,86,2,249
127,1,2,44,83,65,10,202
128,1,2,80,82,49,10,221
129,1,2,63,81,70,0,214
131,1,1,52,90,80,1,223
132,1,2,65,98,91,10,264
133,0,1,46,90,99,0,235
134,1,2,53,97,65,0,215
135,1,2,72,100,71,10,253
136,1,2,60,95,79,1,235
137,1,2,63,65,67,1,196
138,0,1,96,60,56,5,217
139,1,2,44,96,98,6,244
140,1,2,92,83,82,0,257
160,1,1,64,93,98,0,255
162,1,1,62,74,87,0,223
163,1,1,47,53,80,10,190
165,1,2,57,63,58,10,188
166,1,2,78,85,94,0,257
168,1,2,84,87,97,1,269
170,1,2,83,76,52,2,213
172,1,1,83,77,38,2,200
173,1,1,77,82,75,0,234
176,1,1,53,97,76,4,230
179,1,1,91,57,68,1,217
180,0,1,53,98,89,0,240
183,1,1,78,49,93,10,230
184,1,1,52,88,87,5,232
185,1,2,68,92,81,5,246
188,1,4,98,91,79,10,278
192,0,2,95,61,49,0,205
193,1,1,89,88,70,2,249
194,1,2,76,96,63,1,236
195,1,4,62,69,72,3,206
204,1,1,100,85,100,3,288
206,1,2,50,74,75,2,201
207,1,1,63,89,88,1,241
208,1,2,66,86,59,1,212
209,1,1,73,94,63,0,230
211,1,2,60,95,77,2,234
212,1,3,65,84,49,0,198
213,1,1,98,76,86,0,260
216,1,1,49,80,65,0,194
217,1,1,56,95,45,2,198
218,1,1,77,96,100,3,276
219,1,2,67,95,67,1,230
