ID,Согласие,Приоритет,Балл_Физика/ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
1,0,2,64,93,68,0,225
2,0,1,67,95,71,0,233
3,0,4,73,95,87,1,256
4,0,1,58,92,78,3,231
5,0,3,67,73,73,0,213
6,0,3,88,60,76,1,225
7,0,1,44,95,84,10,233
8,0,2,42,55,85,10,192
14,0,3,68,93,63,1,225
15,0,1,64,85,69,1,219
16,0,1,67,76,98,2,243
17,0,3,68,97,86,0,251
18,0,3,53,77,67,0,197
19,0,1,83,90,87,2,262
20,0,2,63,96,51,0,210
21,0,1,54,69,51,1,175
22,0,1,70,100,82,2,254
23,0,2,84,75,76,5,240
46,0,1,93,73,73,1,240
47,0,2,62,73,79,1,215
48,0,2,75,100,81,3,259
49,0,2,50,78,76,1,205
50,0,1,72,69,89,1,231
51,0,2,76,80,75,1,232
52,0,1,78,79,48,2,207
53,0,1,46,87,48,0,181
54,0,2,57,88,87,2,234
55,0,1,55,51,47,2,155
56,0,2,99,78,95,0,272
57,0,1,90,80,64,0,234
58,0,2,68,71,64,0,203
59,0,1,88,89,62,0,239
60,0,2,62,89,75,0,226
61,0,1,54,81,96,2,233
62,0,1,79,86,71,3,239
83,0,2,75,100,49,1,225
84,0,2,48,64,100,1,213
85,0,1,84,73,86,0,243
86,0,1,83,77,52,5,217
87,0,1,65,55,73,0,193
88,0,1,44,98,84,0,226
89,0,1,70,98,93,1,262
90,0,2,50,90,78,1,219
91,0,1,64,98,76,1,239
92,0,1,74,61,47,3,185
93,0,1,99,81,67,1,248
94,0,1,88,61,89,3,241
95,0,1,59,59,84,0,202
96,0,1,77,81,55,0,213
97,0,1,59,86,72,1,218
98,0,1,79,72,64,5,220
99,0,2,48,65,73,2,188
100,0,2,73,73,78,0,224
101,0,2,86,69,73,2,230
124,0,1,76,92,95,0,263
125,0,1,64,80,71,1,216
126,0,1,74,73,88,2,237
127,0,1,41,82,63,1,187
128,0,1,75,82,53,0,210
129,0,2,64,77,60,0,201
130,0,2,63,88,97,3,251
131,0,2,51,94,77,1,223
132,0,1,63,97,88,2,250
133,0,2,54,93,94,0,241
134,0,1,56,96,61,0,213
135,0,1,70,100,71,5,246
136,0,1,58,89,79,1,227
137,0,1,60,62,71,1,194
138,0,2,91,60,56,0,207
139,0,1,48,97,99,3,247
140,0,1,96,86,78,0,260
