ID,Согласие,Приоритет,Балл_Физика/ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
2,1,4,67,91,71,2,231
4,1,2,56,91,77,3,227
6,0,2,89,68,80,1,238
7,1,2,49,95,89,10,243
8,0,1,44,61,87,10,202
9,0,2,58,72,48,5,183
10,1,3,63,95,72,0,230
11,1,2,96,100,86,5,287
12,1,3,90,82,100,6,278
13,1,2,57,58,64,6,185
14,1,2,67,96,67,1,231
15,1,3,67,90,67,1,225
16,1,3,67,75,90,2,234
17,0,1,67,98,76,0,241
18,0,3,51,78,69,0,198
24,1,2,56,71,89,2,218
25,1,2,66,95,85,0,246
26,1,1,70,100,60,5,235
27,1,1,40,76,48,10,174
28,1,2,95,82,100,10,287
29,1,2,90,74,100,0,264
30,1,2,87,97,80,0,264
31,1,1,81,59,83,6,229
32,1,1,61,60,78,1,200
33,1,1,70,85,70,5,230
34,0,1,71,83,89,5,248
36,0,2,67,80,98,1,246
37,1,2,88,86,73,5,252
38,1,1,64,76,50,1,191
39,1,1,63,75,81,0,219
40,1,2,78,67,81,5,231
41,0,1,100,77,76,3,256
42,1,2,72,91,93,4,260
43,1,1,68,99,52,0,219
44,1,1,68,83,56,0,207
45,1,2,64,78,52,0,194
83,1,1,73,90,48,1,212
84,0,1,48,72,94,1,215
86,1,2,87,81,54,5,227
87,1,2,65,48,63,0,176
88,1,2,51,96,84,0,231
89,1,2,78,100,84,1,263
90,1,1,46,98,81,1,226
94,1,2,87,66,80,3,236
96,1,2,75,92,51,0,218
97,0,2,62,89,74,1,226
98,1,2,75,83,68,6,232
99,0,1,47,73,69,2,191
100,1,1,77,70,74,0,221
101,1,1,88,65,77,2,232
102,1,2,64,67,83,7,221
103,1,1,52,85,93,10,240
105,1,2,81,77,57,2,217
106,0,2,75,92,72,2,241
107,1,1,86,53,78,0,217
108,1,2,67,63,86,0,216
109,1,2,62,69,80,8,219
110,1,2,61,40,74,0,175
111,1,2,100,98,71,3,272
112,0,1,52,69,68,3,192
113,1,1,89,84,91,0,264
114,1,1,51,92,100,5,248
115,1,2,66,63,80,6,215
116,1,1,51,55,52,0,158
117,1,1,83,74,100,4,261
118,1,2,56,71,62,2,191
120,1,1,79,77,82,2,240
121,0,1,56,87,62,3,208
122,1,2,39,89,82,0,210
123,1,1,95,92,82,10,279
141,1,1,59,97,92,3,251
142,1,1,73,85,71,3,232
143,1,1,53,100,97,0,250
144,1,1,56,100,78,2,236
145,1,1,46,77,95,0,218
146,1,1,75,95,63,10,243
149,1,1,37,85,87,2,211
151,1,1,76,76,92,3,247
152,1,1,53,85,90,4,232
153,1,1,55,62,74,4,195
155,1,1,70,68,99,5,242
156,0,1,84,45,61,2,192
157,1,1,99,89,51,3,242
158,1,1,61,100,65,2,228
159,1,1,72,93,62,0,227
162,1,2,62,74,87,0,223
163,1,3,47,53,80,10,190
164,1,2,77,87,90,2,256
168,1,3,84,87,97,1,269
169,1,2,56,64,91,0,211
170,1,3,83,76,52,2,213
171,1,1,91,72,49,0,212
172,1,4,83,77,38,2,200
173,1,2,77,82,75,0,234
174,1,2,59,89,97,3,248
175,1,1,87,62,89,1,239
178,1,1,55,69,100,10,234
180,0,3,53,98,89,0,240
182,1,2,48,88,94,0,230
184,1,3,52,88,87,5,232
187,1,1,55,85,53,2,195
188,1,3,98,91,79,10,278
189,1,1,71,98,67,1,237
192,0,1,95,61,49,0,205
195,1,2,62,69,72,3,206
196,1,2,62,96,60,2,220
199,1,1,51,80,74,1,206
201,1,1,63,99,95,2,259
202,0,1,78,53,66,0,197
205,1,1,73,85,97,0,255
207,1,2,63,89,88,1,241
211,1,1,60,95,77,2,234
212,1,2,65,84,49,0,198
214,1,1,60,98,96,0,254
215,0,2,63,91,66,5,225
216,1,3,49,80,65,0,194
218,1,2,77,96,100,3,276
219,1,1,67,95,67,1,230
