ID,Согласие,Приоритет,Балл_Физика/ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
2,0,2,66,86,71,0,223
4,0,3,52,92,80,3,227
5,0,2,69,80,71,0,220
6,0,1,87,70,82,1,240
7,0,3,48,91,86,10,235
8,0,3,39,56,85,10,190
9,0,1,54,72,46,5,177
10,0,1,66,92,73,0,231
11,1,3,87,98,75,5,265
12,0,2,85,80,100,6,271
13,1,3,62,53,66,6,187
19,0,2,83,93,80,10,266
20,1,1,58,92,47,9,206
21,0,3,52,66,51,1,170
22,0,2,62,92,85,1,240
23,1,1,92,77,78,3,250
24,0,1,57,71,89,2,219
25,0,1,65,94,76,0,235
26,0,2,73,100,60,5,238
27,1,2,44,80,51,10,185
28,1,1,91,78,91,10,270
29,0,2,81,71,100,0,252
30,1,1,77,98,79,0,254
31,0,2,79,56,88,0,223
32,0,2,65,61,74,1,201
33,1,2,71,87,72,5,235
34,0,2,68,86,94,0,248
36,0,1,64,81,95,1,241
37,1,1,79,84,63,5,231
38,0,2,61,77,50,1,189
39,0,1,64,75,80,0,219
40,0,1,78,68,79,5,230
41,0,2,100,78,81,3,262
42,0,1,64,91,90,4,249
43,1,2,71,94,51,0,216
44,1,2,63,85,53,0,201
45,0,1,65,73,49,0,187
46,1,2,95,73,74,1,243
48,0,1,73,100,81,3,257
49,0,1,41,79,68,1,189
50,0,2,71,68,92,6,237
51,1,1,69,77,80,1,227
52,1,2,85,78,47,2,212
54,1,1,49,90,77,2,218
55,0,2,57,51,51,1,160
56,1,1,100,77,100,2,279
57,0,2,82,79,59,0,220
58,0,1,74,75,68,0,217
59,0,2,82,94,61,6,243
60,0,1,62,88,82,0,232
62,0,2,84,93,73,3,253
63,0,2,73,80,99,3,255
64,0,1,57,94,77,0,228
65,0,2,77,58,85,0,220
66,1,1,46,93,80,0,219
68,1,2,76,80,98,1,255
70,0,2,69,92,98,1,260
71,0,1,100,90,95,2,287
72,0,1,91,85,89,0,265
73,0,1,89,65,64,0,218
74,0,1,46,65,80,2,193
75,0,1,73,79,79,0,231
76,0,1,71,100,69,1,241
77,0,2,52,100,93,0,245
79,0,1,49,82,84,5,220
80,0,2,97,99,96,7,299
81,1,2,70,86,88,2,246
82,0,2,96,65,54,7,222
161,0,2,43,82,81,3,209
162,1,4,64,72,91,0,227
163,0,4,50,57,84,10,201
165,1,1,62,66,58,10,196
168,1,3,74,88,84,1,247
169,1,1,54,62,89,0,205
170,1,4,85,78,48,2,213
172,0,2,80,79,43,2,204
173,0,3,80,87,70,0,237
174,0,1,58,94,96,3,251
177,0,2,72,67,85,5,229
178,1,2,56,69,99,10,234
181,0,1,43,58,65,0,166
182,0,1,46,86,97,0,229
188,0,3,97,91,68,10,266
190,0,1,74,86,62,1,223
191,0,1,74,87,78,3,242
194,0,1,79,92,59,1,231
195,0,1,63,69,77,3,212
197,0,1,81,79,57,0,217
198,0,1,100,64,50,0,214
199,1,2,48,83,76,1,208
